config_name,blob_raw,blob_filtered,yolo_total,matched,recall,precision,f1_score,noise_reduction
3b. Solidity (80% of Learned),367,124,227,93,40.969162995594715,75.0,52.99145299145299,66.21253405994551
3c. Solidity (60% of Learned),362,123,227,92,40.52863436123348,74.79674796747967,52.57142857142857,66.02209944751381
5b. Aspect Ratio (Relaxed),387,117,227,89,39.20704845814978,76.06837606837607,51.74418604651162,69.76744186046511
4b. Circularity (80% of Learned),377,121,227,90,39.647577092511014,74.3801652892562,51.724137931034484,67.90450928381962
6b. Extent (80% of Learned),397,121,227,89,39.20704845814978,73.55371900826447,51.149425287356316,69.52141057934509
"8. Manual Lenient (area=30, solidity=0.35)",421,118,227,88,38.76651982378855,74.57627118644068,51.01449275362319,71.97149643705463
6a. Extent (Learned 5th %ile),372,116,227,84,37.00440528634361,72.41379310344827,48.9795918367347,68.81720430107528
3a. Solidity (Learned 5th %ile),343,112,227,82,36.12334801762114,73.21428571428571,48.377581120943944,67.3469387755102
4a. Circularity (Learned 5th %ile),330,109,227,80,35.24229074889868,73.39449541284404,47.61904761904763,66.96969696969697
"7b. Area + Solidity (50% Area, 80% Solidity)",299,92,227,62,27.312775330396477,67.3913043478261,38.87147335423197,69.23076923076923
5a. Aspect Ratio (Learned),325,84,227,60,26.431718061674008,71.42857142857143,38.58520900321543,74.15384615384616
"7c. Area + Aspect Ratio (50% Area, Relaxed AR)",295,85,227,60,26.431718061674008,70.58823529411765,38.46153846153847,71.1864406779661
1. No Filtering,1461,398,227,117,51.541850220264315,29.396984924623116,37.44,72.75838466803559
7a. Area + Solidity (Learned),216,79,227,57,25.11013215859031,72.15189873417721,37.254901960784316,63.42592592592593
2c. Area (30% of Learned),351,92,227,59,25.991189427312776,64.13043478260869,36.990595611285265,73.78917378917379
"7e. All Filters (Lenient: 50% Area, 80% Others)",292,82,227,57,25.11013215859031,69.51219512195121,36.89320388349514,71.91780821917808
2b. Area (50% of Learned),274,90,227,58,25.55066079295154,64.44444444444444,36.59305993690851,67.15328467153284
2a. Area (Learned 5th %ile),228,79,227,55,24.229074889867842,69.62025316455697,35.947712418300654,65.35087719298247
7d. All Filters (Learned),164,59,227,45,19.823788546255507,76.27118644067797,31.468531468531474,64.02439024390245
