action,nest,frame_number,track_id,ml_confidence,timestamp,site,video_date,video_time,video_datetime,video_hour,video_name,source_file,seconds_in_video,event_datetime
Exit,47,9769,30,0.808344952981566,2024-04-16 16:25:26.633333,mendels,2024-04-16,16:20:01,2024-04-16 16:20:01,16,mendels_2024-04-16_16_20_01,mendels_2024-04-16_16_20_01_events.csv,325.6333333333333,2024-04-16 16:25:26.633333
Entry,47,9784,30,0.7202229194899512,2024-04-16 16:25:27.133333,mendels,2024-04-16,16:20:01,2024-04-16 16:20:01,16,mendels_2024-04-16_16_20_01,mendels_2024-04-16_16_20_01_events.csv,326.1333333333333,2024-04-16 16:25:27.133333
Exit,9,14415,47,0.6300755227790016,2024-04-16 16:28:01.500000,mendels,2024-04-16,16:20:01,2024-04-16 16:20:01,16,mendels_2024-04-16_16_20_01,mendels_2024-04-16_16_20_01_events.csv,480.5,2024-04-16 16:28:01.500000
Entry,4,17035,27,0.913148099894677,2024-04-16 18:09:27.833333,mendels,2024-04-16,18:00:00,2024-04-16 18:00:00,18,mendels_2024-04-16_18_00_00,mendels_2024-04-16_18_00_00_events.csv,567.8333333333334,2024-04-16 18:09:27.833333
Exit,4,17528,31,0.7248511530252298,2024-04-16 18:09:44.266667,mendels,2024-04-16,18:00:00,2024-04-16 18:00:00,18,mendels_2024-04-16_18_00_00,mendels_2024-04-16_18_00_00_events.csv,584.2666666666667,2024-04-16 18:09:44.266667
Entry,4,17593,31,0.7103135024635217,2024-04-16 18:09:46.433333,mendels,2024-04-16,18:00:00,2024-04-16 18:00:00,18,mendels_2024-04-16_18_00_00,mendels_2024-04-16_18_00_00_events.csv,586.4333333333333,2024-04-16 18:09:46.433333
Exit,4,17766,32,0.9185830509762528,2024-04-16 18:09:52.200000,mendels,2024-04-16,18:00:00,2024-04-16 18:00:00,18,mendels_2024-04-16_18_00_00,mendels_2024-04-16_18_00_00_events.csv,592.2,2024-04-16 18:09:52.200000
Exit,1,3943,17,0.8425756465578257,2024-04-16 18:12:11.433333,mendels,2024-04-16,18:10:00,2024-04-16 18:10:00,18,mendels_2024-04-16_18_10_00,mendels_2024-04-16_18_10_00_events.csv,131.43333333333334,2024-04-16 18:12:11.433333
Entry,60,3345,11,0.6952181261121047,2024-04-16 18:21:52.500000,mendels,2024-04-16,18:20:01,2024-04-16 18:20:01,18,mendels_2024-04-16_18_20_01,mendels_2024-04-16_18_20_01_events.csv,111.5,2024-04-16 18:21:52.500000
Exit,60,3757,24,0.8291235455553942,2024-04-16 18:22:06.233333,mendels,2024-04-16,18:20:01,2024-04-16 18:20:01,18,mendels_2024-04-16_18_20_01,mendels_2024-04-16_18_20_01_events.csv,125.23333333333333,2024-04-16 18:22:06.233333
