video,n_test,n_pos,precision,recall,f1,tp,fp,fn,tn
mendels_2024-04-30_09_00_00,27,9,1.0,0.8888888888888888,0.9411764705882353,8,0,1,18
mendels_2024-04-30_09_10_01,37,14,0.9230769230769231,0.8571428571428571,0.8888888888888888,12,1,2,22
mendels_2024-04-30_09_20_00,17,7,0.875,1.0,0.9333333333333333,7,1,0,9
mendels_2024-04-30_09_30_00,34,17,1.0,0.8823529411764706,0.9375,15,0,2,17
mendels_2024-04-30_09_40_01,18,3,0.75,1.0,0.8571428571428571,3,1,0,14
mendels_2024-05-08_15_00_00,48,21,0.9375,0.7142857142857143,0.8108108108108109,15,1,6,26
mendels_2024-05-08_15_30_00,47,23,0.9545454545454546,0.9130434782608695,0.9333333333333333,21,1,2,23
mendels_2024-05-08_15_50_00,66,22,0.84,0.9545454545454546,0.8936170212765957,21,4,1,40
mendels_2024-05-23_12_00_00,34,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,22,2,2,8
mendels_2024-05-23_12_40_00,79,52,0.9622641509433962,0.9807692307692307,0.9714285714285714,51,2,1,25
mendels_2024-05-23_18_20_01,108,57,0.8225806451612904,0.8947368421052632,0.8571428571428571,51,11,6,40
