title,site,recorded_at,status,size_bytes
SiteA_2024-06-07_13_10_00,SiteA,2024-06-07T13:10:00+00:00,Ready,254579050
SiteA_2024-06-07_13_00_00,SiteA,2024-06-07T13:00:00+00:00,Ready,188626098
SiteA_2024-06-07_12_50_01,SiteA,2024-06-07T12:50:01+00:00,Ready,203995746
SiteA_2024-06-07_12_40_00,SiteA,2024-06-07T12:40:00+00:00,Ready,223490464
SiteA_2024-06-07_12_30_00,SiteA,2024-06-07T12:30:00+00:00,Ready,203113111
SiteA_2024-06-07_12_20_01,SiteA,2024-06-07T12:20:01+00:00,Ready,279397481
SiteA_2024-06-07_12_10_00,SiteA,2024-06-07T12:10:00+00:00,Ready,270883537
SiteA_2024-06-07_12_00_00,SiteA,2024-06-07T12:00:00+00:00,Ready,284992522
SiteA_2024-06-07_11_50_01,SiteA,2024-06-07T11:50:01+00:00,Ready,266856361
mendels_2024-06-07_11_40_00,mendels,2024-06-07T11:40:00+00:00,Ready,272105520
SiteA_2024-06-07_11_40_00,SiteA,2024-06-07T11:40:00+00:00,Ready,226501317
SiteA_2024-06-07_11_30_00,SiteA,2024-06-07T11:30:00+00:00,Ready,202801339
mendels_2024-06-07_11_30_00,mendels,2024-06-07T11:30:00+00:00,Ready,300036295
SiteA_2024-06-07_11_20_01,SiteA,2024-06-07T11:20:01+00:00,Ready,203089869
mendels_2024-06-07_11_20_01,mendels,2024-06-07T11:20:01+00:00,Ready,299524909
SiteA_2024-06-07_11_10_00,SiteA,2024-06-07T11:10:00+00:00,Ready,209997307
mendels_2024-06-07_11_10_00,mendels,2024-06-07T11:10:00+00:00,Ready,300094284
SiteA_2024-06-07_11_00_00,SiteA,2024-06-07T11:00:00+00:00,Ready,197470696
mendels_2024-06-07_11_00_00,mendels,2024-06-07T11:00:00+00:00,Ready,300116728
mendels_2024-06-07_10_50_01,mendels,2024-06-07T10:50:01+00:00,Ready,299554591
SiteA_2024-06-07_10_50_00,SiteA,2024-06-07T10:50:00+00:00,Ready,182293049
