action,nest,frame_number,track_id,ml_confidence,timestamp,site,video_date,video_time,video_datetime,video_hour,video_name,source_file,seconds_in_video,event_datetime
Exit,47,12625,26,0.916295662722392,2024-04-22 14:37:01.833333,natalies,2024-04-22,14:30:01,2024-04-22 14:30:01,14,natalies_2024-04-22_14_30_01,natalies_2024-04-22_14_30_01_events.csv,420.8333333333333,2024-04-22 14:37:01.833333
Entry,47,12625,26,0.849889000556624,2024-04-22 14:37:01.833333,natalies,2024-04-22,14:30:01,2024-04-22 14:30:01,14,natalies_2024-04-22_14_30_01,natalies_2024-04-22_14_30_01_events.csv,420.8333333333333,2024-04-22 14:37:01.833333
Exit,47,12625,27,0.916295662722392,2024-04-22 14:37:01.833333,natalies,2024-04-22,14:30:01,2024-04-22 14:30:01,14,natalies_2024-04-22_14_30_01,natalies_2024-04-22_14_30_01_events.csv,420.8333333333333,2024-04-22 14:37:01.833333
Entry,47,12625,27,0.849889000556624,2024-04-22 14:37:01.833333,natalies,2024-04-22,14:30:01,2024-04-22 14:30:01,14,natalies_2024-04-22_14_30_01,natalies_2024-04-22_14_30_01_events.csv,420.8333333333333,2024-04-22 14:37:01.833333
Exit,9,13856,18,0.7415163540709887,2024-04-22 14:57:41.866667,natalies,2024-04-22,14:50:00,2024-04-22 14:50:00,14,natalies_2024-04-22_14_50_00,natalies_2024-04-22_14_50_00_events.csv,461.8666666666667,2024-04-22 14:57:41.866667
Exit,53,6866,1,0.8113253775748938,2024-04-22 15:43:48.866667,natalies,2024-04-22,15:40:00,2024-04-22 15:40:00,15,natalies_2024-04-22_15_40_00,natalies_2024-04-22_15_40_00_events.csv,228.86666666666667,2024-04-22 15:43:48.866667
Entry,53,6881,1,0.7232033440832789,2024-04-22 15:43:49.366667,natalies,2024-04-22,15:40:00,2024-04-22 15:40:00,15,natalies_2024-04-22_15_40_00,natalies_2024-04-22_15_40_00_events.csv,229.36666666666667,2024-04-22 15:43:49.366667
Entry,51,210,6,0.6073038238555607,2024-04-22 17:00:08.000000,natalies,2024-04-22,17:00:01,2024-04-22 17:00:01,17,natalies_2024-04-22_17_00_01,natalies_2024-04-22_17_00_01_events.csv,7.0,2024-04-22 17:00:08.000000
Exit,38,5264,11,0.6461867363457878,2024-04-22 17:02:56.466667,natalies,2024-04-22,17:00:01,2024-04-22 17:00:01,17,natalies_2024-04-22_17_00_01,natalies_2024-04-22_17_00_01_events.csv,175.46666666666667,2024-04-22 17:02:56.466667
Entry,15,1575,6,0.6000195466159998,2024-04-22 17:10:52.500,natalies,2024-04-22,17:10:00,2024-04-22 17:10:00,17,natalies_2024-04-22_17_10_00,natalies_2024-04-22_17_10_00_events.csv,52.5,2024-04-22 17:10:52.500000
Entry,18,4820,10,0.634160015771387,2024-04-22 17:22:40.666667,natalies,2024-04-22,17:20:00,2024-04-22 17:20:00,17,natalies_2024-04-22_17_20_00,natalies_2024-04-22_17_20_00_events.csv,160.66666666666666,2024-04-22 17:22:40.666667
Entry,30,13926,21,0.776817753356023,2024-04-22 17:27:44.200000,natalies,2024-04-22,17:20:00,2024-04-22 17:20:00,17,natalies_2024-04-22_17_20_00,natalies_2024-04-22_17_20_00_events.csv,464.2,2024-04-22 17:27:44.200000
Entry,60,2100,2,0.6339006024699176,2024-04-22 17:41:10.000000,natalies,2024-04-22,17:40:00,2024-04-22 17:40:00,17,natalies_2024-04-22_17_40_00,natalies_2024-04-22_17_40_00_events.csv,70.0,2024-04-22 17:41:10.000000
Exit,60,2501,4,0.6136665576041208,2024-04-22 17:41:23.366667,natalies,2024-04-22,17:40:00,2024-04-22 17:40:00,17,natalies_2024-04-22_17_40_00,natalies_2024-04-22_17_40_00_events.csv,83.36666666666666,2024-04-22 17:41:23.366667
Entry,60,2587,4,0.6012380196786318,2024-04-22 17:41:26.233333,natalies,2024-04-22,17:40:00,2024-04-22 17:40:00,17,natalies_2024-04-22_17_40_00,natalies_2024-04-22_17_40_00_events.csv,86.23333333333333,2024-04-22 17:41:26.233333
Entry,23,15640,10,0.7988873384288785,2024-04-22 17:48:41.333333,natalies,2024-04-22,17:40:00,2024-04-22 17:40:00,17,natalies_2024-04-22_17_40_00,natalies_2024-04-22_17_40_00_events.csv,521.3333333333334,2024-04-22 17:48:41.333333
Entry,30,14447,2,0.8312799841853605,2024-04-22 17:58:01.566667,natalies,2024-04-22,17:50:00,2024-04-22 17:50:00,17,natalies_2024-04-22_17_50_00,natalies_2024-04-22_17_50_00_events.csv,481.56666666666666,2024-04-22 17:58:01.566667
Entry,35,9721,2,0.9741826165735818,2024-04-22 18:25:24.033333,natalies,2024-04-22,18:20:00,2024-04-22 18:20:00,18,natalies_2024-04-22_18_20_00,natalies_2024-04-22_18_20_00_events.csv,324.03333333333336,2024-04-22 18:25:24.033333
Exit,10,5810,7,0.8499942296438553,2024-04-22 19:13:14.666667,natalies,2024-04-22,19:10:01,2024-04-22 19:10:01,19,natalies_2024-04-22_19_10_01,natalies_2024-04-22_19_10_01_events.csv,193.66666666666666,2024-04-22 19:13:14.666667
Entry,10,5825,7,0.7609250059017327,2024-04-22 19:13:15.166667,natalies,2024-04-22,19:10:01,2024-04-22 19:10:01,19,natalies_2024-04-22_19_10_01,natalies_2024-04-22_19_10_01_events.csv,194.16666666666666,2024-04-22 19:13:15.166667
Exit,10,6432,8,0.8599942296438553,2024-04-22 19:13:35.400000,natalies,2024-04-22,19:10:01,2024-04-22 19:10:01,19,natalies_2024-04-22_19_10_01,natalies_2024-04-22_19_10_01_events.csv,214.4,2024-04-22 19:13:35.400000
Entry,10,6447,8,0.7709250059017327,2024-04-22 19:13:35.900000,natalies,2024-04-22,19:10:01,2024-04-22 19:10:01,19,natalies_2024-04-22_19_10_01,natalies_2024-04-22_19_10_01_events.csv,214.9,2024-04-22 19:13:35.900000
Exit,30,16211,7,0.6661932565829239,2024-04-23 09:59:00.366667,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,540.3666666666667,2024-04-23 09:59:00.366667
Exit,30,16368,8,0.6337956724957519,2024-04-23 09:59:05.600000,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,545.6,2024-04-23 09:59:05.600000
