nest_installation_date,nest_collection_date,release,site,frame_id,nest_code,nest_id,provision,transfer_id,sex,emergence_startdate,emergence,emergence_days,provision_mass,protein,lipid,metabarcoding,N_trips,avg_duration_trip,N_days_beeactive,Remarks,
4/16/24,5/16/24,1,Natalie,NB,I-E-1,,Pollen,,,,,,,,,,,,,total 82 cells in green,
4/16/24,5/16/24,1,Natalie,NB,I-F-1,,"Larvae, Pollen",I-A-1,F,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Natalie,NB,I-F-2,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,I-G-2,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,I-G-1,,"Larvae, Pollen",I-B-1,F,3/19/25,3/22/25,3,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,I-I-1,,"Larvae, Pollen",I-C-1,F,3/19/25,3/22/25,3,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-10,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-9,,"Larvae, Pollen",I-A-2,M,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-8,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-7,,"Larvae, Pollen",I-B-2,M,3/19/25,3/29/25,10,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-6,,"Larvae, Pollen",I-C-2,M,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Natalie,NB,II-A-5,,"Larvae, Pollen",I-A-3,M,3/19/25,3/21/25,2,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-4,,"Larvae, Pollen",I-B-3,F,3/19/25,3/22/25,3,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-3,,"Larvae, Pollen",I-C-3,F,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-2,,"Larvae, Pollen",I-A-4,F,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-A-1,,"Larvae, Pollen",I-B-4,F,3/19/25,3/25/25,6,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-D-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-E-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,II-F-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,III-D-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NB,III-E-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-A-1,,"Larvae, Pollen",I-A-7,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-A-2,,"Larvae, Pollen",I-C-6,F,3/19/25,3/26/25,7,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-A-3,,"Larvae, Pollen",I-B-6,F,3/19/25,3/22/25,3,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-A-4,,"Larvae, Pollen",I-A-6,M,3/19/25,3/26/25,7,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-A-5,,"Larvae, Pollen",I-C-5,M,3/19/25,3/26/25,7,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-A-6,,"Larvae, Pollen",I-B-5,M,3/19/25,3/21/25,2,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-A-7,,"Larvae, Pollen",I-A-5,M,3/19/25,3/27/25,8,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-B-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,I-C-1,,"Larvae, Pollen",I-A-8,F,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-A-1,,"Larvae, Pollen",II-B-2,F,3/19/25,3/27/25,8,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-A-2,,"Larvae, Pollen",II-A-2,F,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Natalie,NT,II-A-3,,"Larvae, Pollen",II-C-1,M,3/19/25,3/26/25,7,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-A-4,,"Larvae, Pollen",II-B-1,M,3/19/25,3/26/25,7,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-A-6,,"Larvae, Pollen",II-A-1,M,3/19/25,3/20/25,1,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-B-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-C-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-C-2,,"Larvae, Pollen",II-B-3,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-C-3,,"Larvae, Pollen",II-A-3,,,,,,,,,,,,died as pupa,
4/16/24,5/16/24,1,Natalie,NT,II-D-1,,"Larvae, Pollen",II-B-4,F,3/19/25,3/31/25,12,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-D-2,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-D-3,,"Larvae, Pollen",II-A-4,F,3/19/25,3/28/25,9,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-E-1,,"Larvae, Pollen",II-C-4,F,3/19/25,3/29/25,10,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-E-2,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-F-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-F-2,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-G-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-G-2,,"Larvae, Pollen",II-A-5,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-H-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,II-I-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,III-A-2,,"Larvae, Pollen",III-B-5,F,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Natalie,NT,III-A-1,,"Larvae, Pollen",III-C-5,F,3/19/25,3/24/25,5,,,,,,,,,4 nests in green for Natalie site for Round 1
4/16/24,5/16/24,1,Mendels,MT,II-A-1,11,"Larvae, Pollen",III-A-2,F,3/19/25,3/25/25,6,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,II-A-2,11,"Larvae, Pollen",III-C-1,F,3/19/25,3/28/25,9,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,II-A-3,11,"Larvae, Pollen",III-B-1,F,3/19/25,3/28/25,9,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,II-A-4,11,"Larvae, Pollen",III-A-1,M,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,II-B-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-A-1,21,"Larvae, Pollen",III-C-5,F,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Mendels,MT,III-A-2,21,"Larvae, Pollen",III-B-5,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-A-3,21,"Larvae, Pollen",III-A-5,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-A-4,21,"Larvae, Pollen",III-C-4,F,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-A-5,21,"Larvae, Pollen",III-B-4,M,3/19/25,3/22/25,3,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-A-6,21,"Larvae, Pollen",III-A-4,M,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-A-7,21,"Larvae, Pollen",III-C-3,M,3/19/25,3/26/25,7,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-A-8,21,"Larvae, Pollen",III-B-3,M,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-A-9,21,"Larvae, Pollen",III-A-3,M,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-B-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MT,III-C-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-A-2,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-A-1,,"Larvae, Pollen",III-A-6,F,3/19/25,3/25/25,6,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-B-2,32,"Larvae, Pollen",III-B-6,F,3/19/25,3/26/25,7,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-B-1,32,"Larvae, Pollen",III-C-6,F,3/19/25,3/27/25,8,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-C-1,,"Larvae, Pollen",III-A-7,M,3/19/25,3/24/25,5,,,,,,,,FIRST CELL MALE?,
4/16/24,5/16/24,1,Mendels,MB,I-D-1,,"Larvae, Pollen",III-B-7,F,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Mendels,MB,I-E-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-F-3,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-F-2,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-F-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-9,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-8,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-7,38,"Larvae, Pollen",III-C-7,M,3/19/25,3/20/25,1,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-6,38,"Larvae, Pollen",III-A-8,M,3/19/25,3/20/25,1,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-5,38,"Larvae, Pollen",III-B-8,M,3/19/25,3/20/25,1,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-4,38,"Larvae, Pollen",III-C-8,M,3/19/25,3/20/25,1,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-3,38,"Larvae, Pollen",IV-A-1,F,3/19/25,3/26/25,7,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-2,38,"Larvae, Pollen",IV-B-1,F,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-H-1,38,"Larvae, Pollen",IV-C-1,F,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Mendels,MB,I-I-1,,"Larvae, Pollen",IV-C-4,F,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Mendels,MB,I-I-2,,"Larvae, Pollen",IV-B-4,F,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Mendels,MB,I-I-3,,"Larvae, Pollen",IV-A-4,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-4,,"Larvae, Pollen",IV-C-4,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-5,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-6,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-7,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-8,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-9,,"Larvae, Pollen",IV-B-3,M,3/19/25,3/21/25,2,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-10,,"Larvae, Pollen",IV-A-3,M,3/19/25,3/22/25,3,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-11,,"Larvae, Pollen",IV-C-2,M,3/19/25,3/21/25,2,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-12,,"Larvae, Pollen",IV-B-2,M,3/19/25,3/20/25,1,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,I-I-13,,"Larvae, Pollen",IV-A-2,M,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Mendels,MB,III-C-5,53,"Larvae, Pollen",IV-A-5,M,3/19/25,3/31/25,12,,,,,,,,Not emerged,
4/16/24,5/16/24,1,Mendels,MB,III-C-4,53,"Larvae, Pollen",IV-B-5,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-C-3,53,"Larvae, Pollen",IV-C-5,F,3/19/25,3/24/25,5,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-C-2,53,"Larvae, Pollen",IV-A-6,F,3/19/25,3/25/25,6,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-C-1,53,"Larvae, Pollen",IV-B-6,F,3/19/25,3/23/25,4,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-D-2,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-D-1,,"Larvae, Pollen",IV-C-6,F,3/19/25,3/22/25,3,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-E-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-F-1,,Pollen,,,,,,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-G-1,57,"Larvae, Pollen",IV-A-7,F,3/19/25,3/22/25,3,,,,,,,,,
4/16/24,5/16/24,1,Mendels,MB,III-H-1,58,"Larvae, Pollen",IV-B-7,F,3/19/25,3/24/25,5,,,,,,,,,6 nests in green for Mendels
5/16/24,6/7/24,2,Natalie,NT,I-J-6,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,I-J-5,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,I-J-4,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,I-J-3,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,I-J-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,I-J-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,I-I-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,II-J-6,,"Larvae, Pollen",I-A-1,M,3/19/25,3/31/25,12,,,,,,,,Not emerged,
5/16/24,6/7/24,2,Natalie,NT,II-J-5,,"Larvae, Pollen",I-B-1,M,3/19/25,3/23/25,4,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,II-J-4,,"Larvae, Pollen",I-C-1,F,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,II-J-3,,"Larvae, Pollen",I-A-2,F,3/19/25,3/31/25,12,,,,,,,,Not emerged,
5/16/24,6/7/24,2,Natalie,NT,II-J-2,,"Larvae, Pollen",I-B-2,F,3/19/25,3/26/25,7,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,II-J-1,,Larvae,I-S-1,,,,,,,,,,,,died as pupa,
5/16/24,6/7/24,2,Natalie,NT,II-I-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,II-H-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,II-G-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-B-6,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-B-5,,"Larvae, Pollen",I-C-3,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-B-4,,"Larvae, Pollen",I-B-3,M,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-B-3,,Empty,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-B-2,,"Larvae, Pollen",I-A-3,F,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-B-1,,"Larvae, Pollen",I-C-2,F,3/19/25,3/26/25,7,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-F-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-G-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-G-1,,"Larvae, Pollen",I-A-4,F,3/19/25,3/24/25,5,,,,,,,,,
