nest,R1_trips,R2_trips,total_trips
1,26,175,201
2,9,52,61
3,6,109,115
4,3,110,113
5,3,118,121
6,3,93,96
7,5,100,105
8,14,117,131
9,5,33,38
10,30,38,68
11,85,226,311
12,21,18,39
13,18,36,54
14,17,38,55
15,7,31,38
16,4,37,41
17,2,55,57
18,3,57,60
19,1,51,52
20,14,180,194
21,127,13,140
22,32,6,38
23,27,4,31
24,14,2,16
25,18,5,23
26,9,6,15
27,8,4,12
28,9,5,14
29,5,5,10
30,10,6,16
31,29,21,50
32,39,129,168
33,49,47,96
34,52,49,101
35,87,97,184
36,88,102,190
37,91,43,134
38,122,22,144
39,207,20,227
40,27,14,41
41,2,205,207
42,3,219,222
43,5,135,140
44,1,102,103
45,7,130,137
46,5,150,155
47,5,100,105
48,2,65,67
49,6,62,68
50,23,208,231
51,8,142,150
52,35,168,203
53,109,134,243
54,41,101,142
55,44,80,124
56,54,55,109
57,53,83,136
58,45,62,107
59,15,92,107
60,56,283,339
